data,contaminant,lat,lng,valor
2025-02-14,PM10,41.11591,1.1919986,48
2025-02-14,PM2.5,41.11591,1.1919986,27
2025-02-14,NO2,41.11591,1.1919986,75
2025-02-14,SO2,41.11591,1.1919986,12
2025-02-14,H2S,41.11591,1.1919986,2.9
2025-02-14,NO,41.11591,1.1919986,40
2025-01-06,PM10,41.11591,1.1919986,40
2025-01-06,PM2.5,41.11591,1.1919986,21
2025-01-06,NO2,41.11591,1.1919986,41
2025-01-06,SO2,41.11591,1.1919986,16
2025-01-06,H2S,41.11591,1.1919986,1.5
2025-01-06,NO,41.11591,1.1919986,6
  
2025-02-14,NOX,41.1174,1.2417027,293
2025-02-14,CO,41.1174,1.2417027,1000
2025-02-14,NO2,41.1174,1.2417027,53
2025-02-14,SO2,41.1174,1.2417027,5
2025-02-14,O3,41.1174,1.2417027,63
2025-02-14,NO,41.1174,1.2417027,161
2025-01-06,PM10,41.1174,1.2417027,
2025-01-06,PM2.5,41.1174,1.2417027,
2025-01-06,NO2,41.1174,1.2417027,
2025-01-06,SO2,41.1174,1.2417027,
2025-01-06,O3,41.1174,1.2417027,
2025-01-06,NO,41.1174,1.2417027,

2025-02-14,PM10,40.90248,0.8097212,50
2025-02-14,PM2.5,40.90248,0.8097212,25
2025-02-14,NO2,40.90248,0.8097212,40
2025-02-14,SO2,40.90248,0.8097212,12
2025-02-14,O3,40.90248,0.8097212,65
2025-02-14,NO,40.90248,0.8097212,28
2025-01-06,PM10,40.90248,0.8097212,50
2025-01-06,PM2.5,40.90248,0.8097212,25
2025-01-06,NO2,40.90248,0.8097212,40
2025-01-06,SO2,40.90248,0.8097212,12
2025-01-06,O3,40.90248,0.8097212,65
2025-01-06,NO,40.90248,0.8097212,28
  
2025-02-14,PM10,41.15951,1.2396973,38
2025-02-14,PM2.5,41.15951,1.2396973,20
2025-02-14,NO2,41.15951,1.2396973,33
2025-02-14,SO2,41.15951,1.2396973,9
2025-02-14,O3,41.15951,1.2396973,58
2025-02-14,NO,41.15951,1.2396973,22
2025-01-06,PM10,41.15951,1.2396973,38
2025-01-06,PM2.5,41.15951,1.2396973,20
2025-01-06,NO2,41.15951,1.2396973,33
2025-01-06,SO2,41.15951,1.2396973,9
2025-01-06,O3,41.15951,1.2396973,58
2025-01-06,NO,41.15951,1.2396973,22
